bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,parent_id,is_weak,effective_bucket_id,fallback_from_children
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,3,356,356,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,0
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,3,206,206,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,0
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,3,192,192,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,0
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,3,232,232,0,L1_VisitorType=new|L2_Month=low_season,False,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,0
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,3,119,119,0,L1_VisitorType=new|L2_Month=low_season,False,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,0
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,3,114,114,0,L1_VisitorType=new|L2_Month=low_season,False,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,0
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,3,206,206,0,L1_VisitorType=new|L2_Month=mid_season,False,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,0
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,3,121,121,0,L1_VisitorType=new|L2_Month=mid_season,False,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,0
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,3,118,118,0,L1_VisitorType=new|L2_Month=mid_season,False,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,0
L1_VisitorType=new|L2_Month=others,2,30,30,0,L1_VisitorType=new,False,L1_VisitorType=new|L2_Month=others,0
L1_VisitorType=others,1,85,85,0,ROOT,False,L1_VisitorType=others,0
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,3,1922,1922,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,0
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,3,1145,1145,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,0
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,3,820,820,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,0
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,3,1300,1300,0,L1_VisitorType=returning|L2_Month=low_season,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,0
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,3,738,738,0,L1_VisitorType=returning|L2_Month=low_season,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,0
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,3,585,585,0,L1_VisitorType=returning|L2_Month=low_season,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,0
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,3,1749,1749,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,0
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,3,1164,1164,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,0
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,3,871,871,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,0
L1_VisitorType=returning|L2_Month=others,2,257,257,0,L1_VisitorType=returning,False,L1_VisitorType=returning|L2_Month=others,0
