bucket_id,level,assigned_samples,used_local_decision,fallback_to_parent,fallback_from_children,parent_id,is_weak,effective_bucket_id
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2,3,356,356,0,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_1_2
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4,3,206,206,0,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_3_4
L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus,3,192,192,0,0,L1_VisitorType=new|L2_Month=high_season,False,L1_VisitorType=new|L2_Month=high_season|L3_Region=region_5_plus
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2,3,232,232,0,0,L1_VisitorType=new|L2_Month=low_season,False,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_1_2
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4,3,119,119,0,0,L1_VisitorType=new|L2_Month=low_season,False,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_3_4
L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus,3,114,114,0,0,L1_VisitorType=new|L2_Month=low_season,False,L1_VisitorType=new|L2_Month=low_season|L3_Region=region_5_plus
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2,3,206,206,0,0,L1_VisitorType=new|L2_Month=mid_season,False,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_1_2
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4,3,121,121,0,0,L1_VisitorType=new|L2_Month=mid_season,False,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_3_4
L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus,3,118,118,0,0,L1_VisitorType=new|L2_Month=mid_season,False,L1_VisitorType=new|L2_Month=mid_season|L3_Region=region_5_plus
L1_VisitorType=new|L2_Month=others,2,30,30,0,0,L1_VisitorType=new,False,L1_VisitorType=new|L2_Month=others
L1_VisitorType=others,1,85,85,0,0,ROOT,False,L1_VisitorType=others
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2,3,1922,1922,0,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_1_2
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4,3,1145,1145,0,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_3_4
L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus,3,820,820,0,0,L1_VisitorType=returning|L2_Month=high_season,False,L1_VisitorType=returning|L2_Month=high_season|L3_Region=region_5_plus
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2,3,1300,1300,0,0,L1_VisitorType=returning|L2_Month=low_season,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_1_2
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4,3,738,738,0,0,L1_VisitorType=returning|L2_Month=low_season,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_3_4
L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus,3,585,585,0,0,L1_VisitorType=returning|L2_Month=low_season,False,L1_VisitorType=returning|L2_Month=low_season|L3_Region=region_5_plus
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2,3,1749,1749,0,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_1_2
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4,3,1164,1164,0,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_3_4
L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus,3,871,871,0,0,L1_VisitorType=returning|L2_Month=mid_season,False,L1_VisitorType=returning|L2_Month=mid_season|L3_Region=region_5_plus
L1_VisitorType=returning|L2_Month=others,2,257,257,0,0,L1_VisitorType=returning,False,L1_VisitorType=returning|L2_Month=others
