bucket_id,layer,parent_bucket_id,n_train,n_val,pos_rate_train,pos_rate_val,alpha,beta,regret_val,F1_val,Precision_val,Recall_val,BND_ratio_val,pos_coverage_val,use_parent_threshold,threshold_n_samples,n_all,pos_rate_all,BAC_val,AUC_val,cost_source,score_metric,score_value,parent_score_value,gain_value,is_weak,threshold_source_bucket,use_gain_weak_backoff,threshold_data_source,parent_with_threshold,n_test,pos_rate_test,BND_ratio_test,POS_Coverage_test,regret_test,fold,pos_rate
ROOT,L1,,7594,3252,0.11588095865156703,0.11808118081180811,0.2,0.1,0.1126230012300123,0.6356107660455487,0.5274914089347079,0.7994791666666666,0.06888068880688807,0.17896678966789667,False,3252,36168,0.11698186241981863,0.8197186628312413,0.936771777661553,global_default,f1_regret_bnd,,,,False,ROOT,False,val,,,,,,,1,0.11698186241981863
L1_age=30-40,L1,ROOT,2977,1295,0.10110849848841115,0.10733590733590734,0.4,0.2,0.10270270270270271,0.6181818181818182,0.625,0.6115107913669064,0.06718146718146718,0.10501930501930502,False,1295,14173,0.10153108022295915,0.7581775410121729,0.935955042194618,global_default,f1_regret_bnd,,,,False,L1_age=30-40,False,val,,,,,,,1,0.10153108022295915
L1_age=40-50,L1,ROOT,1859,840,0.08660570199031738,0.07976190476190476,0.4,0.2,0.08214285714285714,0.608,0.6551724137931034,0.5671641791044776,0.058333333333333334,0.06904761904761905,False,840,8943,0.09001453650900146,0.7473595798497809,0.9445077330038039,global_default,f1_regret_bnd,,,,False,L1_age=40-50,False,val,,,,,,,1,0.09001453650900146
L1_age=30-40|L2_job=white_collar,L2,L1_age=30-40,1648,702,0.11468446601941748,0.11823361823361823,0.4,0.2,0.09650997150997151,0.6625000000000001,0.6883116883116883,0.6385542168674698,0.06267806267806268,0.10968660968660969,False,702,7845,0.11701720841300191,0.7780816318586137,0.949471553418845,global_default,f1_regret_bnd,,,,False,L1_age=30-40|L2_job=white_collar,False,val,,,,,,,1,0.11701720841300191
L1_age=50-60,L1,ROOT,1368,563,0.09649122807017543,0.0905861456483126,0.4,0.2,0.07282415630550622,0.66,0.673469387755102,0.6470588235294118,0.06571936056838366,0.08703374777975133,False,563,6407,0.09942250663336975,0.7844669117647058,0.9664139093137255,global_default,f1_regret_bnd,,,,False,L1_age=50-60,False,val,,,,,,,1,0.09942250663336975
L1_age=30-40|L2_job=white_collar|L3_contact=cellular,L3,L1_age=30-40|L2_job=white_collar,4121,1738,0.14098519776753216,0.13924050632911392,0.2,0.1,0.12269850402761795,0.6699834162520729,0.5595567867036011,0.8347107438016529,0.09838895281933256,0.20771001150747986,False,1738,5859,0.14046765659668886,0.8147484200291687,0.9337019931939718,global_default,f1_regret_bnd,,,,False,L1_age=30-40|L2_job=white_collar|L3_contact=cellular,False,val,,1378.0,0.1444121915820029,0.0,0.21480406386066764,0.13751814223512338,1,0.14046765659668886
L1_age=<=30,L1,ROOT,1198,512,0.15275459098497496,0.15625,0.4,0.2,0.13623046875,0.6666666666666666,0.6708860759493671,0.6625,0.09765625,0.154296875,False,512,5675,0.16440528634361234,0.7583333333333333,0.9251157407407407,global_default,f1_regret_bnd,,,,False,L1_age=<=30,False,val,,,,,,,1,0.16440528634361234
L1_age=30-40|L2_job=blue_collar,L2,L1_age=30-40,998,447,0.06412825651302605,0.07606263982102908,0.4,0.3,0.0878076062639821,0.5588235294117647,0.5588235294117647,0.5588235294117647,0.026845637583892617,0.07606263982102908,False,447,4830,0.07204968944099378,0.7515667283862697,0.9213075060532687,global_default,f1_regret_bnd,,,,False,L1_age=30-40|L2_job=blue_collar,False,val,,,,,,,1,0.07204968944099378
L1_age=40-50|L2_job=white_collar,L2,L1_age=40-50,923,410,0.12026002166847237,0.12926829268292683,0.2,0.1,0.11036585365853659,0.6720000000000002,0.5833333333333334,0.7924528301886793,0.08048780487804878,0.17560975609756097,False,410,4449,0.10721510451786918,0.8163944823212304,0.939855187357962,global_default,f1_regret_bnd,,,,False,L1_age=40-50|L2_job=white_collar,False,val,,,,,,,1,0.10721510451786918
L1_age=40-50|L2_job=blue_collar,L2,L1_age=40-50,698,306,0.05730659025787966,0.06535947712418301,0.4,0.3,0.08251633986928104,0.5263157894736842,0.5555555555555556,0.5,0.02287581699346405,0.058823529411764705,False,306,3357,0.06761989871909443,0.7272727272727273,0.9284965034965036,global_default,f1_regret_bnd,,,,False,L1_age=40-50|L2_job=blue_collar,False,val,,,,,,,1,0.06761989871909443
